"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"STR_TERJEMED_SYRINGE_EMPTY_DESC","Empty medical syringe. Can be used for injecting medicines. Be careful, using non-disinfected syringes can lead to sepsis and other illnesses.","Empty medical syringe. Can be used for injecting medicines. Be careful, using non-disinfected syringes can lead to sepsis and other illnesses.","Prázdná lékařská stříkačka. Může být použit pro injekční podávání léků. Buďte opatrní, používání špinavých stříkaček může vést k otravě krve a dalším onemocněním.","Leere medizinische Spritze. Kann zum Injizieren von Medikamenten verwendet werden. Seien Sie vorsichtig, die Verwendung schmutziger Spritzen kann zu Blutvergiftungen und anderen Krankheiten führen.","Порожній медичний шприц. Може бути використаний для ін'єкцій. Будьте пильні, використання брудних шприців може призвести до зараження крові та інших хвороб.","Pusta strzykawka medyczna. Może być używana do zastrzyków. Należy zachować czujność, ponieważ używanie brudnych strzykawek może prowadzić do sepsy i innych chorób.","Üres orvosi fecskendő. Használható gyógyszerek beadására. Legyen óvatos, a piszkos fecskendők használata vérmérgezéshez és más betegségekhez vezethet.","Siringa medica vuota. Può essere usato per l'iniezione di medicinali. Fai attenzione, l'uso di siringhe sporche può portare ad avvelenamento del sangue e altre malattie.","Jeringa médica vacía. Puede usarse para inyectarse medicamentos. Tenga cuidado, usar jeringas sucias puede provocar envenenamiento de la sangre y otras enfermedades.","Seringue médicale vide. Peut être utilisée pour injecter des médicaments. Faites attention, utiliser des seringues non désinfectées peut entraîner une septicémie et d'autres maladies.","空的醫用注射器。 可用于注射藥物。 小心，使用髒注射器會導致血液中毒和其他疾病。","空の医療用注射器。 薬を注入するために使用することができます。 汚れた注射器を使用すると、血液中毒やその他の病気につながる可能性があることに注意してください。","Seringa médica vazia. Pode ser utilizado para injecção de medicamentos. Tenha cuidado, o uso de seringas sujas pode causar envenenamento do sangue e outras doenças.","空的医用注射器。 可用于注射药物。 小心，使用脏注射器会导致血液中毒和其他疾病。"
"STR_MEDCONTAINER_LARGE_NAME","Large First Aid Kit","Large First Aid Kit","Velká lékárnička","Großes Erste-Hilfe-Set","Большая аптечка","Duża apteczka pierwszej pomocy","Nagy Elsősegély-készlet","Grande kit di pronto soccorso","Botiquín de primeros auxilios grande","Grande Trousse de Premiers Secours","大型急救箱","大きい救急箱","Kit de Primeiros Socorros grande","大型急救箱"
"STR_MEDCONTAINER_LARGE_DESC","A large first aid kit is great for compact storage and transportation of medicines.","A large first aid kit is great for compact storage and transportation of medicines.","Velká lékárnička je skvělá pro kompaktní skladování a přepravu léků.","Ein großes Erste-Hilfe-Set eignet sich hervorragend für die kompakte Aufbewahrung und den Transport von Medikamenten.","Велика медична аптечка відмінно підходить для компактного зберігання та перенесення медичних препаратів.","Duża apteczka doskonale nadaje się do kompaktowego przechowywania i przenoszenia niezbędnych akcesoriów medycznych.","A nagy Elsősegély-készlet kiválóan alkalmas a gyógyszerek kompakt tárolására és szállítására.","Un grande kit di pronto soccorso è ottimo per lo stoccaggio compatto e il trasporto di medicinali.","Un botiquín de primeros auxilios grande es ideal para el almacenamiento compacto y el transporte de medicamentos.","Une grande trousse de premiers secours est idéale pour le stockage compact et le transport de médicaments.","大型急救箱非常適合緊湊地儲存和運輸藥品。","大きい救急箱は薬の密集した貯蔵そして交通機関のために大きいです。","Um grande kit de Primeiros Socorros é ótimo para armazenamento compacto e transporte de medicamentos.","一个大的急救箱是伟大的紧凑储存和运输药品."
"STR_MEDCONTAINER_MIDLE_NAME","Middle First Aid Kit","Middle First Aid Kit","Střední lékárnička","Mittleres Erste-Hilfe-Set","Середня аптечка","Średnia apteczka pierwszej pomocy","Középső Elsősegély-készlet","Kit di pronto soccorso medio","Botiquín de primeros auxilios medio","Moyenne Trousse de Premiers Secours","中型急救箱","中間の救急箱","Kit de Primeiros Socorros Do Meio","中间急救箱"
"STR_MEDCONTAINER_MIDLE_DESC","A middle first aid kit is great for compact storage and transportation of medicines.","A middle first aid kit is great for compact storage and transportation of medicines.","Střední lékárnička je skvělá pro kompaktní skladování a přepravu léků.","Ein mittleres Erste-Hilfe-Set eignet sich hervorragend für die kompakte Aufbewahrung und den Transport von Medikamenten.","Стандартна медична аптечка відмінно підходить для компактного зберігання та перенесення медичних препаратів.","Średnia apteczka doskonale nadaje się do kompaktowego przechowywania i przenoszenia niezbędnych akcesoriów medycznych.","A középső Elsősegély-készlet kiválóan alkalmas a gyógyszerek kompakt tárolására és szállítására.","Un kit di pronto soccorso medio è ottimo per lo stoccaggio compatto e il trasporto di medicinali.","Un botiquín de primeros auxilios intermedio es ideal para el almacenamiento compacto y el transporte de medicamentos.","Une trousse de premiers secours moyenne est idéale pour le stockage compact et le transport de médicaments.","中型急救箱非常適合緊湊地儲存和運輸藥品。","中間の救急箱は薬の密集した貯蔵そして交通機関のために大きいです。","Um kit de Primeiros Socorros médio é ótimo para armazenamento compacto e transporte de medicamentos.","中间急救箱非常适合紧凑的药品储存和运输。"
"STR_MEDCONTAINER_SMALL_NAME","Small First Aid Kit","Small First Aid Kit","Malá lékárnička","Kleines Erste-Hilfe-Set","Мала аптечка","Mała apteczka pierwszej pomocy","Kis elsősegély-készlet","Piccolo kit di pronto soccorso","Botiquín de primeros auxilios pequeño","Petite Trousse de Premiers Secours","小型急救箱","小さな応急処置キット","Kit de Primeiros Socorros pequeno","小型急救箱"
"STR_MEDCONTAINER_SMALL_DESC","A small first aid kit is great for compact storage and transportation of medicines.","A small first aid kit is great for compact storage and transportation of medicines.","Malá lékárnička je skvělá pro kompaktní skladování a přepravu léků.","Ein kleines Erste-Hilfe-Set eignet sich hervorragend für die kompakte Aufbewahrung und den Transport von Medikamenten.","Невелика медична аптечка відмінно підходить для компактного зберігання та перенесення медичних препаратів.","Mała apteczka doskonale nadaje się do kompaktowego przechowywania i przenoszenia niezbędnych akcesoriów medycznych.","Egy kis elsősegély-készlet kiválóan alkalmas a gyógyszerek kompakt tárolására és szállítására.","Un piccolo kit di pronto soccorso è ottimo per lo stoccaggio compatto e il trasporto di medicinali.","Un pequeño botiquín de primeros auxilios es ideal para el almacenamiento compacto y el transporte de medicamentos.","Une petite trousse de premiers secours est idéale pour le stockage compact et le transport de médicaments.","小型急救箱非常適合緊湊地儲存和運輸藥品。","小さい救急箱は薬の密集した貯蔵そして交通機関のために大きいです。","Um pequeno kit de Primeiros Socorros é ótimo para armazenamento compacto e transporte de medicamentos.","小型急救箱非常适合紧凑的药物储存和运输。"
"STR_TERJEMED_NOSLEEP_COLD","You are so cold that you can't sleep","You are so cold that you can't sleep","Je Vám tak zima, že nemůžete spát","Dir ist so kalt, dass du nicht schlafen kannst","Вам так холодно, що ви не можете заснути","Jest ci tak zimno, że nie możesz spać.","Olyan hideg vagy, hogy nem tudsz aludni","Hai così freddo che non riesci a dormire","Tienes tanto frío que no puedes dormir","Tu as si froid que tu ne peux pas dormir","你太冷了，睡不著","あなたはとても寒いので眠ることができません","Você está tão frio que não consegue dormir","你冷得睡不着"
"STR_TERJEMED_NOSLEEP_HOT","You are so hot that you can't sleep","You are so hot that you can't sleep","Je Vám tak horko, že nemůžete usnout.","Sie sind so heiß, dass Sie nicht einschlafen können","Вам так жарко що ви не можете заснути","Jest ci tak gorąco, że nie możesz spać","Olyan meleg vagy, hogy nem tudsz aludni","Sei così caldo che non riesci a dormire","Estás tan caliente que no puedes dormir","Vous avez tellement chaud que vous ne pouvez pas dormir","你太熱了，睡不著","あなたは眠ることができないほど暑いですか","Está tão quente que não consegue dormir.","你热得睡不着吗？"
"STR_TERJEMED_NOSLEEP_SICK","You feel so bad that you can't sleep","You feel so bad that you can't sleep","Cítíte se tak špatně, že nemůžete spát","Du fühlst dich so schlecht, dass du nicht schlafen kannst","Ви почуваєтеся так погано що не можете заснути","Czujesz się tak źle, że nie możesz spać","Olyan rosszul érzi magát, hogy nem tud aludni","Ti senti così male che non riesci a dormire","Te sientes tan mal que no puedes dormir","Vous vous sentez si mal que vous ne pouvez pas dormir","你感覺很糟糕，無法入睡","あなたはとても気分が悪いので眠れません","Você se sente tão mal que não consegue dormir","你感覺如此糟糕，以至于你無法入睡"
"STR_TERJEMED_NOSLEEP_ENERGED","You are too energized that you can't sleep","You are too energized that you can't sleep","Jste tak veselí, že nemůžete spát","Du bist so fröhlich, dass du nicht schlafen kannst","Ви занадто бадьорі щоб заснути","Jesteś zbyt rozbudzony, by spać","Olyan vidámság vagy, hogy nem tudsz aludni","Sei così allegro che non riesci a dormire","Eres tan alegre que no puedes dormir","Vous êtes tellement plein d'énergie que vous ne pouvez pas dormir","你精力充沛，無法入睡","あなたは眠ることができないほど陽気です","Você é tão alegre que não consegue dormir","你太高興了，睡不著"
"STR_TERJEMED_SALVE_USE_SELF","Apply ointment","Apply ointment","Aplikujte masti na sebe","Salbe auf sich selbst auftragen","Нанести мазь собі","Nałóż maść na siebie","Kenőcsöt alkalmazzon magának","Applicare unguento a te stesso","Aplícate ungüento a ti mismo","Appliquer la pommade","塗抹藥膏","自分に軟膏を塗る","Aplique pomada em si mesmo","给自己涂药膏"
"STR_TERJEMED_SALVE_USE_TARGET","Apply ointment to the target","Apply ointment to the target","Naneste masti osobu","Tragen Sie die Salbe auf die Person auf","Нанесіть мазь іншому","Nałóż maść na drugą osobe","Alkalmazza a kenőcs személy","Applicare l'unguento alla persona","Aplicar la pomada persona","Appliquer la pommade sur la cible","將藥膏塗抹到目標上","軟膏を塗る人","Aplicar a pomada pessoa","涂抹药膏的人"
"STR_TERJEMED_SALVE_DESC","An old tube of ointment for treating bruises. The label is worn but partly readable.","An old tube of ointment for treating bruises. The label is worn but partly readable.","Tuba staré masti na modřiny.","Eine Tube alte Salbe gegen blaue Flecken.","Тюбик старої мазі від забитих місць.","Tubka starej maści na siniaki.","Egy tubus régi kenőcs zúzódásokra.","Un tubetto di un vecchio unguento per i lividi.","Un tubo de ungüento viejo para hematomas.","Un vieux tube de pommade pour traiter les contusions. L'étiquette est usée mais partiellement lisible.","一管治療瘀青的舊藥膏。標籤已磨損但部分可讀。","あざ用の古い軟膏のチューブ。","Um tubo de pomada velha para contusões.","一管治疗瘀伤的旧药膏。"
"STR_TERJEMED_AMPOULE_DESC","A small amber glass vial for storing medicine. Only the name of the drug is visible on the old label.","A small amber glass vial for storing medicine. Only the name of the drug is visible on the old label.","Injekční lahvička z borosilikátového jantarového skla se běžně používá k ukládání lékařských roztoků. Na starém papírovém štítku je vidět pouze název léku.","Geformte Borosilikat-Braunglas-Injektionsflaschen werden üblicherweise zur Aufbewahrung von medizinischen Lösungen verwendet. Auf dem alten Papieretikett ist nur der Name des Arzneimittels zu sehen.","Флакон для ін'єкцій із формованого боросилікатного янтарного скла зазвичай використовується для зберігання медичних розчинів. На старій паперовій етикетці можна розглянути лише назву препарату.","Mała fiolka z bursztynowego szkła do przechowywania leków. Na starej etykiecie widoczna jest tylko nazwa leku.","Alakú boroszilikát borostyánsárga üveg injekciós üveget általában orvosi oldatok tárolására használnak. Csak a gyógyszer neve látható a régi papírcímkén.","La fiala a forma di dell'iniezione di vetro ambrato del borosilicato è comunemente usata per immagazzinare le soluzioni mediche. Solo il nome del farmaco può essere visto sulla vecchia etichetta di carta.","El vial de inyección de vidrio ámbar de borosilicato en forma se usa comúnmente para almacenar soluciones médicas. Solo se puede ver el nombre del medicamento en la etiqueta de papel vieja.","Une petite ampoule en verre ambré pour stocker des médicaments. Seul le nom du médicament est visible sur l'ancienne étiquette.","用於儲存藥物的琥珀色小玻璃瓶。舊標籤上僅可見藥品名稱。","定形ホウケイ酸塩のこはく色のガラス注入のガラスびんは一般的医学の解決を貯えるためにです。 薬の名前だけが古い紙のラベルに見ることができます。","O frasco de injeção de vidro âmbar de borossilicato em forma é comumente usado para armazenar soluções médicas. Apenas o nome do medicamento pode ser visto no rótulo de papel antigo.","形状硼硅酸盐琥珀色玻璃注射小瓶常用于储存医疗溶液。 旧纸标签上只能看到药物的名称。"
"STR_TERJEMED_INJECTOR_DESC","A disposable injector once used by the military to quickly give medicine. This one still looks usable.","A disposable injector once used by the military to quickly give medicine. This one still looks usable.","Lékařský jednorázový injektor. Armáda jej používala k rychlému zavedení účinné látky do těla. Zdá se, že tento je stále použitelný.","Medizinischer Einweginjektor. Es wurde vom Militär verwendet, um schnell einen Wirkstoff in den Körper einzuführen. Es scheint, dass dieser noch verwendbar ist.","Медичний одноразовий ін'єктор. Використовувався військовим для швидкого введення активної речовини в організм. Здається, цей все ще придатний для використання.","Jednorazowy wstrzykiwacz medyczny. Używany przez wojsko do szybkiego wstrzykiwania substancji czynnej do organizmu. Ten wydaje się być nadal zdatny do użytku.","Orvosi eldobható injektor. A katonaság arra használta, hogy gyorsan bevigyen egy hatóanyagot a szervezetbe. Úgy tűnik, ez még mindig használható.","Iniettore monouso medico. È stato usato dai militari per introdurre rapidamente una sostanza attiva nel corpo. Sembra che questo sia ancora utilizzabile.","Inyector desechable médico. Fue utilizado por los militares para introducir rápidamente una sustancia activa en el cuerpo. Parece que este todavía es utilizable.","Un injecteur jetable autrefois utilisé par l'armée pour administrer rapidement des médicaments. Celui-ci semble encore utilisable.","軍隊曾經使用過的一次性注射器，用於快速輸藥。這個看起來還能用。","医学の使い捨て可能な注入器。 これは、活性物質を体内に迅速に導入するために軍によって使用されました。 これはまだ使用可能なようです。","Injector descartável médico. Foi utilizado pelos militares para introduzir rapidamente uma substância activa no organismo. Parece que este ainda é utilizável.","医用一次性注射器。 它被军方用来快速将一种活性物质引入体内。 看来这个还是可以用的。"
"STR_TERJEMED_TABLETS_DESC","Sealed pack of old tablets with just the name and expiration date showing. They still seem usable.","Sealed pack of old tablets with just the name and expiration date showing. They still seem usable.","Uzavřené balení starých tablet. Na něm můžete vidět pouze jméno a datum vypršení platnosti. Zdá se, že jsou stále použitelné.","Versiegelte Verpackung von alten Tabletten. Darauf sehen Sie nur den Namen und das Ablaufdatum. Sie scheinen noch brauchbar zu sein.","Герметична упаковка старих таблеток. На ній можна розглянути лише назву та термін придатності. Здається, вони все ще придатні для вживання.","Zapieczętowane opakowanie starych tabletek. Na nim widać tylko nazwę i datę ważności. Wydaje się, że nadal nadają się do użytku.","Régi tabletták zárt csomagolása. Rajta csak a név és a lejárati dátum látható. Úgy tűnik, hogy még mindig használhatók.","Confezione sigillata di vecchie compresse. Su di esso puoi vedere solo il nome e la data di scadenza. Sembrano essere ancora utilizzabili.","Embalaje sellado de comprimidos viejos. En él solo puedes ver el nombre y la fecha de vencimiento. Parecen seguir siendo utilizables.","Paquet scellé de vieux comprimés avec juste le nom et la date d'expiration visibles. Ils semblent encore utilisables.","密封的舊藥片包裝，僅顯示名稱和有效期限。它們看起來還能用。","古い錠剤の密封包装。 その上には、名前と有効期限のみが表示されます。 彼らはまだ使用可能であるようです。","Embalagem selada de comprimidos antigos. Nele você só pode ver o nome e a data de validade. Parecem ainda ser utilizáveis.","旧片的密封包装。 就可以了，你只能看到的名称和到期日期。 它们似乎仍然可用。"
"STR_TERJEMED_FINALGON","Finalgon","Finalgon","Finalgon","Finalgon","Фіналгон","Finalgon","Finalgon","Finalgon","Finalgón","Finalgon","Finalgon","フィナルゴン","Finalgon","[医]芬兰"
"STR_TERJEMED_MAGNESIUMSULFATE","Magnesium Sulfate","Magnesium Sulfate","Síran hořečnatý","Magnesiumsulfat","Сульфат магнію","Siarczan magnezu","Magnézium-szulfát","Solfato di magnesio","Sulfato de magnesio","Sulfate de Magnésium","Magnesium Sulfate","硫酸マグネシウム","Sulfato de magnésio","硫酸镁/硫酸镁"
"STR_TERJEMED_ADEPRESS","Adepress","Adepress","Adepsu","Adepress","Адепресс","Adepress","Adepress","Adepress","Adepress","Adépress","Adepress","アデプレス","Adepress","女演员"
"STR_TERJEMED_B190","Tablets B190","Tablets B190","Tablety B190","Tabletten B190","Таблетки В190","Tabletki B190","Tabletta B190","Compresse B190","Tabletas B190","Comprimés B190","Tablets B190","錠B190","Comprimidos B190","平板电脑B190"
"STR_TERJEMED_ZIVIROL","Zivirol Experimental Antidote","Zivirol Experimental Antidote","Zivirol Experimentální Antidot","Zivirol Experimentelles Gegenmittel","Зівірол - експериментальний антидот","Zivirol - eksperymentalne antidotum","Zivirol Kísérleti Antidotum","Zivirol Antidot sperimentale","Antídoto Experimental de Zivirol","Antidote Expérimental Zivirol","Zivirol Experimental Antidote","ジビロールアンチドット","Antídoto Experimental De Zivirol","Zivirol实验解毒剂"
"STR_TERJEMED_NEIROX","Neirox","Neirox","Neirox","Neirox","Нейрокс","Neirox","Neirox","Neirox","Neirox","Neirox","Neirox","ネイロックス","Neirox","内罗克斯"
"STR_TERJEMED_ERYTHROPOIETIN","Erythropoietin","Erythropoietin","Erytropoetin","Erythropoetin","Ерітропоетин","Erytropoetyna","Eritropoetin","Eritropoietina","Eritropoyetina","Érythropoïétine","Erythropoietin","エリスロポエチン","Eritropoietina","促红细胞生成素"
"STR_TERJEMED_RADIOPROTECTOR","Radioprotector","Radioprotector","Radioprotektor","Strahlenschutz","Радіопротектор","Radioprotector","Radioprotektor","Radioprotettore","Radioprotector","Radioprotecteur","Radioprotector","放射線防護装置","Radioprotetor","放射保护剂"
"STR_TERJEMED_NOVICHEK","Novichek","Novichek","Novičeka","Nowitschek","Новичок","Novichek","Novicsek","Novichek","Novichek","Novichek","Novichek","ノヴィチェク","Novichek","诺维切克"
"STR_TERJEMED_AMOXIVAN","Amoxivan","Amoxivan","Amoxivan","Amoxivan","Амоксіван","Amoxivan","Amoxivan","Amoxivan","Amoxivan","Amoxivan","Amoxivan","アモキシバン抗生物質","Amoxivan","Amoxivan"
"STR_TERJEMED_ALCOHOL","Alcohol","Alcohol","Alkohol","Alkohol","Спирт","Alkohol","Alkohol","Alcol","Alcohol","Alcool","酒精","アルコール","Álcool","酒精"
"STR_TERJEMED_NOVOCAINE","Novacaine","Novacaine","Novakain","Novacain","Новокаін","Novacaine","Novakain","Novacaina","Novacaína","Novocaïne","Novacaine","ノバカイン","Novacaína","诺瓦卡因"
"STR_TERJEMED_METOCLOPRAMID","Metoclopramid","Metoclopramid","Metoklopramid","Metoclopramid","Метоклопрамід","Metoklopramid","Metoklopramid","Metoclopramide","Metoclopramida","Métoclopramide","Metoclopramid","メトクロプラミド","Metoclopramida","甲氧氯普胺"
"STR_TERJEMED_ADRENALIN","Adrenalin","Adrenalin","Adrenalin","Adrenalin","Адреналін","Adrenalina","Adrenalin","Adrenalina","Adrenalina","Adrénaline","Adrenalin","アドレナリン","Adrenalina","肾上腺素"
"STR_TERJEMED_PENTACIN","Pentacin","Pentacin","Pentacin","Pentacin","Пентацин","Pentacyna","Pentacin","Pentacina","Pentacina","Pentacine","Pentacin","ペンタシン","Pentacina","戊酸,戊酸"
"STR_TERJEMED_METRALINDOLE","Metralindole","Metralindole","Metralindol","Metralindol","Метраліндол","Metralindol","Metralindol","Metralindolo","Metralindol","Métralindole","Metralindole","メトラリンドール","Metralindol","[医]甲吲哚"
"STR_TERJEMED_CAPSICUM","Capsicum","Capsicum","Kapsikam","Capsicum","Капсикам","Kapsikam","Capsicum","Capsicum","Capsicum","Capsicum","Capsicum","トウガラシ","Capsicam","辣椒,辣椒"
"STR_TERJEMED_VIPROSAL","Viprosal","Viprosal","Viprosal","Viprosal","Випросал","Viprosal","Viprosal","Viprosal","Viprosal","Viprosal","Viprosal","ヴィプロサル","Viprosal","[医]维普罗萨"
